'bc01932,AjiSumbaga,5 minutes ago,add tflite model and label'
'85dc17a,AjiSumbaga,17 minutes ago,add py script'
'6799e95,AjiSumbaga,20 minutes ago,chaquopy env set up'
'3a1bfbb,AjiSumbaga,26 minutes ago,add grad_cam activity'
'80cad49,AjiSumbaga,28 minutes ago,add classification activity'
'1a3e719,AjiSumbaga,31 minutes ago,add camera_get'
'29f64f1,AjiSumbaga,38 minutes ago,add example dialog'
'd185fa4,AjiSumbaga,43 minutes ago,add login activity java'
'df34c77,AjiSumbaga,48 minutes ago,changes Main activity.java'
'a847b60,AjiSumbaga,69 minutes ago,Merge branch 'master' of https://github.com/ajisumbaga7/Bangkit-FinalProject-repo'
'c96dab3,AjiSumbaga,70 minutes ago,change gradle.xml'
'038bcda,Bayu Budiman,6 hours ago,Merge pull request #2 from bayuarifbudiman/master'
'dd4bc41,Bayu Budiman,6 hours ago,Preprocessing dataset using metadata'
'8229576,Bayu Budiman,10 hours ago,Merge pull request #1 from bayuarifbudiman/master'
'c067dc5,Bayu Budiman,10 hours ago,Merge pull request #1 from bayuarifbudiman/model-branch'
'4a8bdda,Bayu Budiman,10 hours ago,Add Initial_model.ipynb'
'9f8f062,Bayu Budiman,10 hours ago,Delete model-generation.ipynb'
'01c7b2b,AjiSumbaga,4 days ago,adding empty activity'
'29ae88b,AjiSumbaga,4 days ago,Create README.md'
'058a36c,AjiSumbaga,4 days ago,Delete README.md'
'4ebb9d6,AjiSumbaga,4 days ago,adding README.md'
'acef81c,AjiSumbaga,4 days ago,adding the dataset'
